Time,RPM,MPH,Throttle,Load,Fuel Status
16:35:44.387466,648,0.0,12.5490196078,28.6274509804,0200
16:35:44.615483,652,0.0,12.5490196078,27.8431372549,0200
16:35:44.897226,647,0.0,12.5490196078,27.8431372549,0200
16:35:45.162743,642,0.0,12.5490196078,27.8431372549,0200
16:35:45.391668,636,0.0,12.5490196078,28.6274509804,0200
16:35:45.617843,641,0.0,12.5490196078,28.6274509804,0200
16:35:45.857719,640,0.0,12.5490196078,28.6274509804,0200
16:35:46.63622,644,0.0,12.5490196078,28.6274509804,0200
16:35:46.323683,648,0.0,12.5490196078,28.6274509804,0200
16:35:46.525557,644,0.0,12.5490196078,28.6274509804,0200
16:35:46.720462,640,0.0,12.5490196078,28.6274509804,0200
16:35:46.971198,644,0.0,12.5490196078,28.6274509804,0200
16:35:47.189338,648,0.0,12.5490196078,28.6274509804,0200
16:35:47.415355,644,0.0,12.5490196078,28.6274509804,0200
16:35:47.657514,642,0.0,12.5490196078,28.6274509804,0200
16:35:47.946070,640,0.0,12.5490196078,28.6274509804,0200
16:35:48.138582,650,0.0,12.5490196078,28.6274509804,0200
16:35:48.425468,644,0.0,12.5490196078,28.6274509804,0200
16:35:48.647212,648,0.0,12.5490196078,28.6274509804,0200
16:35:48.852313,647,0.0,12.5490196078,28.6274509804,0200
16:35:49.86055,648,0.0,12.5490196078,28.6274509804,0200
16:35:49.321846,652,0.0,12.5490196078,28.6274509804,0200
16:35:49.524085,644,0.0,12.5490196078,28.6274509804,0200
16:35:49.787235,648,0.0,12.5490196078,28.6274509804,0200
16:35:49.988723,644,0.0,12.5490196078,28.6274509804,0200
16:35:50.176287,652,0.0,12.1568627451,28.6274509804,0200
16:35:50.422032,648,0.0,12.5490196078,28.6274509804,0200
16:35:50.615104,644,0.0,12.5490196078,28.6274509804,0200
16:35:50.825377,647,0.0,12.5490196078,28.6274509804,0200
16:35:51.39619,644,0.0,12.5490196078,28.6274509804,0200
16:35:51.291890,648,0.0,12.5490196078,28.6274509804,0200
16:35:51.504313,652,0.0,12.5490196078,28.6274509804,0200
16:35:51.747208,640,0.0,12.5490196078,28.6274509804,0200
16:35:52.3229,644,0.0,12.5490196078,28.6274509804,0200
16:35:52.218507,640,0.0,12.9411764706,29.8039215686,0200
16:35:52.461584,695,0.0,12.9411764706,30.9803921569,0200
16:35:52.686983,753,0.0,12.9411764706,29.8039215686,0200
